"filename", "language", "JSON", "JavaScript", "HTML", "JavaScript JSX", "SCSS", "Markdown", "comment", "blank", "total"
"/home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/transport/transport-helpers/length-adjust.jsx", "JavaScript JSX", 0, 0, 0, 66, 0, 0, 0, 18, 84
"/home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/transport/transport-helpers/length-adjust.scss", "SCSS", 0, 0, 0, 0, 7, 0, 0, 0, 7
"/home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/transport/transport-helpers/octave-picker.jsx", "JavaScript JSX", 0, 0, 0, 45, 0, 0, 0, 14, 59
"/home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/transport/transport-helpers/octave-picker.scss", "SCSS", 0, 0, 0, 0, 10, 0, 0, 0, 10
"/home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/transport/transport.jsx", "JavaScript JSX", 0, 0, 0, 290, 0, 0, 2, 37, 329
"/home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/option-helpers/transport/transport.scss", "SCSS", 0, 0, 0, 0, 144, 0, 10, 24, 178
"/home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/source-options/source-options.jsx", "JavaScript JSX", 0, 0, 0, 82, 0, 0, 0, 8, 90
"/home/merkwur/codes/js/browser-daw/src/components/node-system/option-components/source-options/source-options.scss", "SCSS", 0, 0, 0, 0, 36, 0, 0, 8, 44
"/home/merkwur/codes/js/browser-daw/src/index.scss", "SCSS", 0, 0, 0, 0, 34, 0, 6, 12, 52
"/home/merkwur/codes/js/browser-daw/src/main.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, 2, 9
"/home/merkwur/codes/js/browser-daw/vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 4638, 54, 12, 3586, 578, 24, 55, 707, 9654
